Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
1405563,Credit reporting,,Credit reporting company's investigation,Investigation took too long,WV,26330,Web,06/04/2015,06/08/2015,TransUnion,In progress,Yes,
1405551,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,CA,92807,Web,06/04/2015,06/04/2015,Equifax,Closed with explanation,Yes,
1405549,Debt collection,Credit card,Taking/threatening an illegal action,Threatened to sue on too old debt,FL,32780,Web,06/04/2015,06/11/2015,Creekside Recovery And Capital Management,Closed with explanation,Yes,Yes
1405550,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,CA,92807,Web,06/04/2015,06/04/2015,Equifax,Closed with explanation,Yes,
1405545,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,NY,11746,Web,06/04/2015,06/08/2015,"Bayview Loan Servicing, LLC",In progress,Yes,
1405532,Credit reporting,,Incorrect information on credit report,Public record,MN,56537,Web,06/04/2015,06/04/2015,Equifax,In progress,Yes,
1405531,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,CA,91606,Web,06/04/2015,06/04/2015,Bank of America,In progress,Yes,
1405539,Debt collection,Payday loan,Cont'd attempts collect debt not owed,Debt is not mine,NC,27546,Web,06/04/2015,06/04/2015,Cornerstone Mediation LLC,Closed,Yes,
1405541,Bank account or service,Checking account,"Account opening, closing, or management",,CA,90710,Web,06/04/2015,06/04/2015,JPMorgan Chase,Closed with explanation,Yes,
1405562,Credit reporting,,Credit reporting company's investigation,Investigation took too long,WV,26330,Web,06/04/2015,06/08/2015,Experian,Closed with explanation,Yes,
1405561,Credit reporting,,Credit reporting company's investigation,Investigation took too long,WV,26330,Web,06/04/2015,06/04/2015,TransUnion,Closed with explanation,Yes,
1405560,Credit reporting,,Credit reporting company's investigation,Investigation took too long,WV,26330,Web,06/04/2015,06/08/2015,Experian,Closed with explanation,Yes,
1405559,Credit reporting,,Credit reporting company's investigation,Investigation took too long,WV,26330,Web,06/04/2015,06/08/2015,Equifax,In progress,Yes,
1405558,Credit reporting,,Credit reporting company's investigation,Investigation took too long,WV,26330,Web,06/04/2015,06/04/2015,TransUnion,Closed with explanation,Yes,
1405557,Credit reporting,,Credit reporting company's investigation,Investigation took too long,WV,26330,Web,06/04/2015,06/04/2015,Experian,Closed with explanation,Yes,Yes
1405556,Credit reporting,,Credit reporting company's investigation,Investigation took too long,WV,26330,Web,06/04/2015,06/04/2015,Equifax,In progress,Yes,
1406365,Debt collection,"Other (phone, health club, etc.)",Improper contact or sharing of info,Talked to a third party about my debt,TX,78758,Web,06/04/2015,06/04/2015,"Seattle Service Bureau, Inc",Closed with explanation,Yes,
1405600,Debt collection,Medical,False statements or representation,Attempted to collect wrong amount,FL,33160,Postal mail,06/04/2015,06/11/2015,"Dynamic Recovery Solutions, LLC",Closed with non-monetary relief,Yes,
1405593,Debt collection,Credit card,Taking/threatening an illegal action,Threatened to sue on too old debt,FL,33312,Postal mail,06/04/2015,06/10/2015,JPMorgan Chase,Closed with explanation,Yes,
1405580,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,CA,92656,Web,06/04/2015,06/04/2015,Ocwen,Closed with explanation,Yes,Yes
1405569,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,CA,92505,Postal mail,06/04/2015,06/08/2015,Ocwen,Closed with explanation,Yes,
1405589,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,IL,33023,Referral,06/04/2015,06/08/2015,Bank of America,In progress,Yes,
1405582,Consumer loan,Vehicle lease,Problems when you are unable to pay,,NC,27502,Web,06/04/2015,06/04/2015,"Auto Trakk, LLC",In progress,Yes,
1405581,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,NC,27617,Web,06/04/2015,06/08/2015,BB&T Financial,Closed with explanation,Yes,
1405588,Credit card,,Credit card protection / Debt protection,,CA,90402,Web,06/04/2015,06/08/2015,JPMorgan Chase,Closed with explanation,Yes,
1405627,Credit reporting,,Incorrect information on credit report,Account terms,DE,19973,Web,06/04/2015,06/04/2015,TransUnion,In progress,Yes,
1406137,Debt collection,,Cont'd attempts collect debt not owed,Debt was paid,CA,92123,Web,06/04/2015,06/04/2015,Encore Capital Group,Closed with explanation,Yes,
1406338,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,VA,22309,Web,06/04/2015,06/04/2015,R & B Corporation of Virginia,Closed with non-monetary relief,Yes,
1405604,Credit reporting,,Incorrect information on credit report,Account terms,TX,77084,Web,06/04/2015,06/04/2015,Equifax,Closed with explanation,Yes,
1405603,Credit reporting,,Incorrect information on credit report,Account terms,TX,77084,Web,06/04/2015,06/04/2015,TransUnion,Closed with explanation,Yes,
1405626,Credit reporting,,Incorrect information on credit report,Account terms,DE,19973,Web,06/04/2015,06/04/2015,Equifax,In progress,Yes,
1405610,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,FL,33131,Web,06/04/2015,06/04/2015,JPMorgan Chase,In progress,Yes,
1405621,Student loan,Non-federal student loan,Dealing with my lender or servicer,,SC,29360,Web,06/04/2015,06/09/2015,"Northland Group, Inc.",Closed with non-monetary relief,Yes,
1405620,Student loan,Non-federal student loan,Dealing with my lender or servicer,,SC,29360,Web,06/04/2015,06/04/2015,JPMorgan Chase,Closed with explanation,Yes,Yes
1405618,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,CA,62914,Web,06/04/2015,06/04/2015,Specialized Loan Servicing LLC,Closed with explanation,Yes,
1405764,Credit reporting,,Incorrect information on credit report,Information is not mine,,75254,Web,06/04/2015,06/04/2015,Experian,Closed,Yes,
